block,period,childInpatientRatioList
KAMPTEE BLOCK,2015-11-01,0.16237113402061856
BHIWAPUR BLOCK,2015-11-01,0.06553398058252427
NARKHED BLOCK,2015-11-01,0.1875
PARSHIVNI BLOCK,2015-12-01,0.10687022900763359
SAONER BLOCK,2015-12-01,0.11864406779661017
RAMTEK BLOCK,2015-12-01,0.11764705882352941
UMRED BLOCK,2015-12-01,0.1678832116788321
KUHI BLOCK,2015-12-01,0.18829516539440203
BHIWAPUR BLOCK,2015-12-01,0.13994169096209913
KATOL BLOCK,2015-12-01,0.058673469387755105
HINGNA BLOCK,2015-12-01,0.11450381679389313
NARKHED BLOCK,2015-12-01,0.06688963210702341
NAGPUR BLOCK,2015-12-01,0.2256796593514576
KALMESHWAR BLOCK,2015-12-01,0.13565891472868216
KAMPTEE BLOCK,2015-12-01,0.20763723150357996
MOUDA BLOCK,2015-12-01,0.08947368421052632
SAONER BLOCK,2016-01-01,0.10743801652892562
KATOL BLOCK,2016-01-01,0.043478260869565216
PARSHIVNI BLOCK,2016-01-01,0.10289389067524116
KALMESHWAR BLOCK,2016-01-01,0.1284722222222222
UMRED BLOCK,2016-01-01,0.13032581453634084
HINGNA BLOCK,2016-01-01,0.07916666666666666
KUHI BLOCK,2016-01-01,0.18685121107266436
KAMPTEE BLOCK,2016-01-01,0.23237597911227154
BHIWAPUR BLOCK,2016-01-01,0.08611111111111111
NAGPUR BLOCK,2016-01-01,0.30978260869565216
NARKHED BLOCK,2016-01-01,0.15562913907284767
MOUDA BLOCK,2016-01-01,0.06329113924050633
RAMTEK BLOCK,2016-01-01,0.16115702479338842
NARKHED BLOCK,2016-02-01,0.09641873278236915
KALMESHWAR BLOCK,2016-02-01,0.11290322580645161
NAGPUR BLOCK,2016-02-01,0.2973155876381683
KAMPTEE BLOCK,2016-02-01,0.2304147465437788
HINGNA BLOCK,2016-02-01,0.306282722513089
UMRED BLOCK,2016-02-01,0.2955145118733509
KATOL BLOCK,2016-02-01,0.056511056511056514
PARSHIVNI BLOCK,2016-02-01,0.10738255033557047
SAONER BLOCK,2016-02-01,0.07106598984771574
RAMTEK BLOCK,2016-02-01,0.16106194690265488
BHIWAPUR BLOCK,2016-02-01,0.16139240506329114
MOUDA BLOCK,2016-02-01,0.07352941176470588
KUHI BLOCK,2016-02-01,0.14454277286135694
BHIWAPUR BLOCK,2016-03-01,0.14713896457765668
HINGNA BLOCK,2016-03-01,0.10543130990415335
PARSHIVNI BLOCK,2016-03-01,0.11083123425692695
NARKHED BLOCK,2016-03-01,0.1043956043956044
KUHI BLOCK,2016-03-01,0.18316831683168316
KALMESHWAR BLOCK,2016-03-01,0.10461538461538461
KAMPTEE BLOCK,2016-03-01,0.2078239608801956
MOUDA BLOCK,2016-03-01,0.11682242990654206
SAONER BLOCK,2016-03-01,0.15824915824915825
KATOL BLOCK,2016-03-01,0.1172566371681416
RAMTEK BLOCK,2016-03-01,0.12012012012012012
UMRED BLOCK,2016-03-01,0.32450331125827814
NAGPUR BLOCK,2016-03-01,0.31371266623065186
